Sno,Generic/Quantity,Package Unit,Price(in Rs.)
1554,Pseudoephedrine   30 mgChlorpheniramine Maleate   4 mgParacetamol   500 mg,10 Tablet,4.3
1555,Pseudoephedrine   30 mgChlorpheniramine Maleate   2 mgParacetamol   500 mg,10 Tablet,4.28
1556,Pseudoephedrine   30 mgAcetaminophen   500 mgCetirizine   5 mg,10 Tablet,4.42
1557,Ephedrine   10 mgChlorpheniramine Maleate   4 mgNoscapine   10 mg,10 Tablet,1.76
1558,Pseudoephedrine   60 mgBromhexine   8 mgChlorpheniramine Maleate   45 mg,60 ml,9.92
1559,Pseudoephedrine   30 mgParacetamol   125 mgChlorpheniramine Maleate   2 mg,60 ml,10.24
1560,Ephedrine   15 mgTheophylline   100 mgPhenobarbitone   10 mg,10 Tablet,2.88
1561,Ephedrine   10 mgTheophylline   100 mgPhenobarbitone   10 mg,100 Tablet,26.12
1562,Pseudoephedrine   60 mgDextromethorphan   10 mgCetirizine   5 mg,50 ml,12.35
1563,Pseudoephedrine   60 mgDextromethorphan   10 mgCetirizine   5 mg,30 ml,9.42
1564,Pseudoephedrine   60 mgCetirizine   5 mgParacetamol   500 mg,10 Tablet,6.56
1565,Pseudoephedrine   60 mgAcetaminophen   500 mgChlorpheniramine Maleate   4 mg,8 Tablet,4.58
1566,Ephedrine   25 mgTheophylline   130 mgHydroxyzine   10 mg,20 Capsule,16.26
1567,Pseudoephedrine   30 mgAcetaminophen   500 mgDextromethorphan   15 mg,10 Tablet,6.24
1568,Dexamethasone Sodium Phosphate   4 mgMethyl Paraben   0.15% w/vPropyl Paraben   0.02% w/v,5 ml,11.42
1569,Dexamethasone   1 mgNeomycin   3.5 mgPolymyxin B Sulphate   5000 iu,3 gm,5.78
1570,Ephedrine   7 mgChlorpheniramine Maleate   4 mgCodeine Phosphate   10 mg,60 ml,16.2
1571,Dexamethasone   0.05% w/vCiprofloxacin   0.3% w/vBoric Acid   1.5% w/v,10 ml,9.54
1572,Dexamethasone   0.11% w/vNeomycin   0.5% w/vBoric Acid   1.2% w/v,5 ml,7.92
1573,Ephedrine   10 mgTheophylline   100 mgPhenobarbitone   10 mg,100 ml,26.24
1574,Dexamethasone   0.1% w/vTobramycin   0.3% w/vBenzalkonium Chloride   0.01% w/v,10 ml,13.72
1575,Dexamethasone   0.1% w/vTobramycin   0.3% w/vBenzalkonium Chloride   0.2% w/v,10 ml,13.42
1576,Dexamethasone Sodium Phosphate   1% w/vBenzylkonium Chloride   0.02% w/vOfloxacin   3% w/v,5 ml,8.82
1577,Dexamethasone   0.1% w/vOfloxacin   0.3% w/vBenzalkonium Chloride   0.01% w/v,5 ml,7.22
1578,Dexamethasone Sodium Phosphate   0.1% w/vChloramphenicol   1% w/vPhenyl Mercuric Nitrate   0.002% w/v,10 ml,9.54
1579,Dexamethasone Sodium Phosphate   0.05% w/vChloramphenicol   1% w/vPhenyl Mercuric Nitrate   0.001% w/v,10 ml,9.42
1580,Erythromycin   3% w/wAloe Vera   1% w/wCholocresol   0.1% w/w,15 gm,8.96
1581,Dextropropoxyphene   100 mgDicyclomine (Dicycloverine)   10 mgAcetaminophen   400 mg,8 Capsule,14.28
1582,Dexamethasone Sodium Phosphate   0.055% w/vBenzalkonium Chloride   0.02% w/vBoric Acid   1.2% w/v,5 ml,9.2
1583,Dexamethasone Sodium Phosphate   0.05% w/vGentamicin   0.3% w/vMethyl Paraben   0.1% w/v,10 ml,9.7
1584,Rifampicin   60 mgIsoniazid   30 mgPyrazinamide   150 mg,6 Blister Tablet,7.37
1585,Rifampicin   225 mgIsoniazid   150 mgPyrazinamide   750 mg,10 PVC Film Blister,44.06
1586,Rifampicin   150 mgIsoniazid   75 mgEthambutol   275 mg,10 PVC Film Blister,30.57
1587,Zidovudine   300 mgLamivudine   150 mgNevirapine   200 mg,1 tablet,19.05
1588,Adrenochrome Monosemicarbazone   330 mcgMenadione   10 mgRutin   50 mgDibasic Calcium Phosphate   125 mg,10 Tablet,10.06
1589,Tolnaftate   10 mgIodochlorohydroxyquinoline   10 mgGentamicin   1 mgBetamethasone   0.643 mg,10 gm,8.08
1590,Tolnaftate   10 mgIodochlorohydroxyquinoline   10 mgGentamicin   1 mgBetamethasone   0.61 mg,10 gm,8.22
1591,Theophylline   130 mgEphedrine   48 mgPhenobarbitone   8 mgGlyceryl Guaicolate   100 mg,10 Tablet,5.2
1592,Theophylline   65 mgEphedrine   50 mgPhenobarbitone   30 mg,10 Tablet,5.45
1593,Betamethasone Valerate   0.61 mgGentamicin   1 mgTolnaftate   10 mgIodochlorohydroxyquinoline   10 mg,5 gm,5.52
1594,Betamethasone Valerate   0.61 mgTolnaftate   15 mgGentamicin Sulphate   1 mgIodochlorohydroxyquinoline   15 mg,5 gm,6.44
1595,Betamethasone   0.61 mgTolnaftate   10 mgGentamicin Sulphate   1 mgIodochlorohydroxyquinoline   10 mg,10 gm,8.22
1596,Betamethasone   0.5 mgTolnaftate   10 mgGentamicin   1 mgIodochlorohydroxyquinoline   10 mg,5 gm,5.24
1597,Betamethasone   0.05% w/wSalicylic Acid   3% w/wUrea   10% w/wLactic Acid Bacillus   3% w/w,30 gm,14.32
1598,Betamethasone   0.6 mgTolnaftate   10 mgGentamicin Sulphate   1 mgIodochlorohydroxyquinoline   10 mg,10 gm,7.76
1599,Betamethasone   0.05% w/wClotrimazole   1% w/wGentamicin   0.1% w/w,16 gm,9.66
1600,Silver Sulphadiazine   1% w/wChlorhexadine Gluconate   0.2% w/wAloe   15% w/wAllantoin   0.1% w/w,20 gm,9.48
1601,Silver Sulphadiazine   1% w/wChlorhexadine Gluconate   0.2% w/wMetronidazole   1% w/wZinc Oxide   2.5% w/w,30 gm,12.18
1602,Betamethasone   0.05% w/wSalicylic Acid   3% w/wLactic Acid Bacillus   3% w/wUrea   10% w/w,20 gm,10.89
1603,Betamethasone   0.025% w/vGentamicin Sulphate   0.3% w/vClotrimazole   1% w/vLignocaine   2% w/v,5 ml,8.71
1604,Betamethasone   0.5 mgTolnaftate   10 mgNeomycin   5 mgIodochlorohydroxyquinoline   10 mg,5 gm,5.73
1605,Salbutamol   2 mgBromhexine   4 mgGuaiphenesin   50 mgMenthol   0.5 mg,100 ml,12.8
1606,Salbutamol   1 mgBromhexine   2  mgGuaiphenesin   50 mgMenthol   1 mg,100 ml,13.98
1607,Salbutamol   1 mgBromhexine   2 mgGuaiphenesin   50 mgMenthol   0.5 mg,100 ml,14.33
1608,Salbutamol   2 mgBromhexine   4 mgGuaiphenesin   100 mgMenthol   1 mg,100 ml,14.1
1609,Dexamethasone   0.1% w/wCiprofloxacin   0.3% w/wBenzalkonium Chloride   0.01% w/w,5 gm,5.5
1610,Salbutamol   1 mgBromhexine   2 mgGuaiphenesin   50 mg,60 ml,8.8
1611,Rifampicin   100 mgIsoniazid   75 mgPyrazinamide   250 mgPyridoxine   2.5 mg,10 Tablet,19.2
1612,Rifampicin   450 mgIsoniazid   300 mgPyrazinamide   1500 mgEthambutol   800 mg,1 Kit,12.69
1613,Pseudoephedrine   60 mgParacetamol   500 mgCaffeine   30 mgCetirizine   5 mg,10 Tablet,7
1614,Chlorpheniramine Maleate   2 mgDextromethorphan   15 mgParacetamol   325 mgPseudoephedrine   30 mg,10 Tablet,5.98
1615,Ephedrine   48 mgTheophylline   130 mgPhenobarbitone   8 mgGlyceryl Guaicolate   100 mg,10 Tablet,5.06
1616,Pseudoephedrine   60 mgCetirizine   5 mgParacetamol   500 mg,10 Tablet,6.56
1617,Pseudoephedrine   30 mgDextromethorphan   10 mgTriprolidine   1.25 mgMenthol   1.5 mg,100 ml,17.9
1618,Dextromethorphan   10 mgPseudoephedrine   30 mgMenthol   1.5 mgTriprolidine   1.25 mg,60 ml,13.18
1619,Pseudoephedrine   60 mgChlorpheniramine Maleate   2 mgParacetamol   500 mgCaffeine   30 mg,10 Tablet,5.64
1620,Rifampicin   100 mgIsoniazid   100 mgPyrazinamide   300 mgPyridoxine   5 mg,10 Tablet,15.66
1621,Pseudoephedrine   30 mgChlorpheniramine Maleate   2 mgParacetamol   500 mg,10 Tablet,4.28
1622,Pseudoephedrine   30 mgChlorpheniramine Maleate   1 mgDextromethorphan   5 mgBromhexine   2.7 mg,60 ml,10.4
1623,Pseudoephedrine   30 mgChlorpheniramine Maleate   1 mgBromhexine   2.7 mgDextromethorphan   5 mg,100 ml,14.1
1624,Pseudoephedrine   30 mgDextromethorphan Hydrobromide   10 mgTriprolidine   1.25 mgMenthol   1.5 mg,60 ml,13.18
1625,Pseudoephedrine   30 mgDextromethorphan Hydrobromide   10 mgTriprolidine   1.25 mgMenthol   1.5 mg,100 ml,18.74
1626,Rifampicin   225 mgIsoniazid   150 mgPyrazinamide   750 mgEthambutol   400 mg,6 Tablet,37.08
1627,Rifampicin   150 mgIsoniazid   75 mgPyrazinamide   400 mgEthambutol Hcl   275 mg,10 Tablet,40.89
1628,Rifampicin   150 mgIsoniazid   100 mgPyrazinamide   500 mgEthambutol   267 mg,3 Tablet,13.34
1629,Pseudoephedrine   30 mgCetirizine   5 mgDextromethorphan   10 mgMenthol   1.5 mg,60 ml,13.74
1630,Pseudoephedrine   30 mgDextromethorphan   10 mgMenthol   1.5 mgCetirizine   5 mg,100 ml,18.12
1631,Pseudoephedrine   30 mgDextromethorphan   10 mgCetirizine   5 mgMenthol   1.5 mg,50 ml,11.58
1632,Ranitidine   150 mgParacetamol   300 mgDicyclomine (Dicycloverine)   10 mgMefenamic Acid   100 mg,10 Tablet,7
1633,Furazolidone   100 mgMetronidazole   200 mgBerberine   20 mgBelladonna   125 mg,10 Tablet,5.88
1634,Prednisolone   1% w/vOfloxacin   0.3% w/vHydroxypropyl Methyl Cellulose   0.25% Benzalkonium ChIoride   0.3% w/v,5 ml,12.9
1635,Gentamicin   1 mgTolnaftate   10 mgBetamethasone Valerate   0.61 mgIodochlorohydroxyquinoline   10 mg,5 gm,5.52
1636,Gentamicin   1 mgTolnaftate   10 mgBetamethasone Valerate   0.61 mgIodochlorohydroxyquinoline   10 mg,10 gm,8.22
1637,Gentamicin   1 mgTolnaftate   10 mgBetamethasone Valerate   0.5 mgIodochlorohydroxyquinoline   10 mg,5 gm,5.24
1638,Gentamicin   0.1% Clobetasol Propionate   0.05% Miconazole Nitrate   2% Zinc Sulphate   2.5% ,10 gm,8.79
1639,Metronidazole   400 mgDiloxanide Furoate   500 mgMethyl Polysiloxane   25 mgDicyclomine (Dicycloverine)   10 mg,10 Tablet,13.77
1640,Gentamicin   0.3% w/vBeclomethasone   0.025% w/vClotrimazole   1% w/vLignocaine Hydrochloride IP   2% w/v,5 ml,8.28
1641,Vit E   0.5% w/wGentamicin Sulphate   0.1% w/wAloe   10% w/wSesame Oil   2% w/w,25 gm,10.52
1642,Vit E   1% Propylene Glycol   10% Urea   10% Lactobacillus Sporegens   5% ,30 gm,12.21
1643,Lycopene   2 mgVit E   200 iuVit A   2500 iuZinc Sulphate   27.45 mg,10 Capsule,9.49
1644,Vit B1   33 mgD-Panthenol   5 mgVit B12   333 mcgVit B6   33 mg,10 ml,12.21
1645,Vit B1   30 mgVit B6   13.75 mgVit B12   500 mcgBenzyl Alcohol   2% v/v,10 ml,9
1646,Vit B1   33 mgVit B6   33 mgVit B12   500 mcgBenzyl Alcohol   2% v/v,10 ml,9.1
1647,Metronidazole   300 mgFurazolidone   100 mgDicyclomine (Dicycloverine)   10 mg,10 Tablet,6.66
1648,Dexamethasone Sodium Phosphate   0.01% w/vKetorolac Tromethamine   0.5% w/vHydroxypropyl Methyl Cellulose   0.025% w/vBenzalkonium Chloride   0.02% w/v,5 ml,20.4
1649,Prednisolone   1.0% Benzalkonium Chloride   0.006% Edetate Disodium   0.0127% Polysorbate   80 ,10 ml,92.99
1650,Tolnaftate   10 mgGentamicin   1 mgIodochlorohydroxyquinoline IP   10 mgBeclomethasone   0.25 mg,5 gm,4.88
1651,Theophylline   80 mgEphedrine   12 mgGuaiphenesin   50 mgAlcohol   0.55 ml,200 ml,28.49
1652,Streptomycin Sulphate   2.5 gmProcaine Pencillin   1500000 unitsPenicillin G Sodium   500000 units,20 ml,20.34
1653,Salbutamol   2 mgBromhexine   4 mgChlorpheniramine Maleate   4 mgMenthol   0.5 mg,100 ml,12.04
1654,Salbutamol   1 mgBromhexine   15 mgGuaiphenesin   50 mgMenthol   0.5 mg,100 ml,16.66
1655,Salbutamol   1 mgBromhexine   15 mgGuaiphenesin   50 mgMenthol   1 mg,60 ml,9.9
1656,Salbutamol   2 mgBromhexine   8 mgGuaiphenesin   100 mgMenthol   0.5 mg,100 ml,9.8
1657,Salbutamol   1 mgBromhexine   2 mgGuaiphenesin   50 mgMenthol   0.5 mg,50 ml,9.23
1658,Salbutamol   1 mgBromhexine   2 mgGuaiphenesin   50 mgMenthol   1 mg,30 ml,7.55
1659,Salbutamol   1 mgAmmonium Chloride   100 mgGuaiphenesin   50 mgMenthol   0.5 mg,100 ml,14.48
1660,Salbutamol   2 mgBromhexine   4 mgAmmonium Chloride   100 mgMenthol   1.5 mg,100 ml,11.7
1661,Salbutamol   1 mgAmbroxol   15 mgGuaiphenesin   15 mgMenthol   1 mg,60 ml,12.09
1662,Salbutamol   1 mgAmbroxol   15 mgGuaiphenesin   50 mgMenthol   0.5 mg,100 ml,15.5
1663,Salbutamol   1 mgAmbroxol   15 mgGuaiphenesin IP   50 mgMenthol   1 mg,60 ml,12.09
1664,Salbutamol   1 mgAmbroxol   30 mgGuaiphenesin   50 mgMenthol   0.5 mg,100 ml,17.48
1665,Salbutamol   0.5 mgAmbroxol   15 mgGuaiphenesin   50 mgMenthol   1 mg,60 ml,13.41
1666,Salbutamol   1 mgAmbroxol   15 mgGuaiphenesin   50 mg,100 ml,13.54
1667,Rifampicin   150 mgEthambutol   275 mgIsoniazid   100 mgPyrazinamide   500 mg,6 Tablet,23.04
1668,Rifampicin   150 mgIsoniazid   100 mgPyrazinamide   500 mgEthambutol   800 mg,1 Kit,5.82
1669,Rifampicin   450 mgIsoniazid   300 mgPyridoxine   10 Ethambutol   800 mg,1 Kit,6.64
1670,Rifampicin   450 Isoniazid   225 mgEthambutol   825 mgPyrazinamide   400 mg,10 Tablet,53.35
1671,Rifampicin   150 mgIsoniazid   225 mgPyrazinamide   400 mgEthambutol   275 mg,10 Tablet,36.4
1672,Rifampicin   225 mgIsoniazid   150 mgPyrazinamide   750 mgPyridoxine   10 mg,10 Tablet,37.25
1673,Rifampicin   120 mgIsoniazid   80 mgPyrazinamide   250 mgPyridoxine   10 mg,10 Tablet,17.68
1674,Phenylbutazone   150 mgAnalgin   150 mgLignocaine   10 mgBenzyl Alcohol   2% w/w,30 ml,16.8
1675,Pheniramine Maleate   1 mgPseudoephedrine   30 mgParacetamol   125 mgSodium Citrate   60 mg,100 ml,15.32
1676,Metronidazole   100 mgFurazolidone   37.5 mgPectin   75 mgLight Kaolin   50 mg,60 ml,10
1677,Iodochlorohydroxyquinoline   1% w/wBeclomethasone   0.2% w/wGentamicin   0.0025% w/wClotrimazole   1% w/w,10 gm,6.04
1678,Iodochlorohydroxyquinoline   15 mgTolnaftate   15 mgGentamicin   1 mgBetamethasone   0.61 mg,5 gm,6.44
1679,Analgin   150 mgPhenylbutazone   150 mgLignocaine   10 mgBenzyl Alcohol   2% w/w,30 ml,16.8
1680,Iodochlorohydroxyquinoline   10 mgBetamethasone   0.61 mgGentamicin   1 mgTolnaftate   10 mg,15 gm,10.29
1681,Iodochlorohydroxyquinoline   10 mgBetamethasone   0.5 mgTolnaftate   10 mgNeomycin   5 mg,10 gm,8.54
1682,Betamethasone   0.61 mgTolnaftate   10 mgGentamicin   1 mgIodochlorohydroxyquinoline   10 mg,5 gm,5.52
1683,Betamethasone   0.05% Salicylic Acid   3% Urea   10% Lactic Acid Bacillus   5% ,10 gm,6.62
1684,Betamethasone   1 mgNeomycin   3400 iuPolymyxin B Sulphate   10000 iuLignocaine   20 mg,5 ml,10.76
1685,Betamethasone   0.6 mgGentamicin Sulphate   1 mgTolnaftate   10 mgIodochlorohydroxyquinoline   10 mg,3 gm,4
1686,Betamethasone   0.061% w/wGentamicin   0.1% w/wQuiniodochlor   3% w/wClotrimazole   1% w/w,5 gm,6.3
1687,Betamethasone   0.05% w/wNeomycin   3400 iuPolymyxin B Sulphate   10000 iu,5 ml,9.78
1688,Betamethasone   0.064% w/wChlorocresol   0.1% w/wClotrimazole   1% w/wZinc Sulphate   0.5% w/w,15 gm,9.01
1689,Betamethasone   0.025% w/wNeomycin   0.5% w/wMiconazole Nitrate   2% w/wChlorocresol   0.1% w/w,10 gm,7.1
1690,Betamethasone   0.05% w/vZinc Sulphate   0.5% w/vMethyl Paraben   0.18% w/vPropyl Paraben   0.02% w/v,50 ml,22.5
1691,Betamethasone   0.05% w/wNeomycin   0.50% w/wChlorocresol   0.10% w/wClotrimazole   1% w/w,8 gm,6.82
1692,Betamethasone   0.05% Lactic Acid Bacillus   5% Salicylic Acid   3% Urea   10% ,20 gm,15.85
1693,Betamethasone   0.064% w/wGentamicin   0.1% w/wZinc Sulphate   0.5% w/wChlorocresol   0.1% w/w,30 gm,14.59
1694,Betamethasone   0.025% w/vGentamicin   0.3% w/vClotrimazole   1% w/vLignocaine   2% w/v,5 ml,7.74
1695,Betamethasone Valerate   0.12% w/wGentamicin Sulphate   0.1% w/wChlorocresol   0.1% w/wMiconazole Nitrate   2% w/w,20 gm,17.46
1696,Betamethasone   0.1% w/wChlorocresol   0.1% w/wClioquinol   3% w/w,20 gm,17.65
1697,Betamethasone   0.05% w/wChlorocresol   0.1% w/wNeomycin   0.5% w/wZinc Sulphate   0.5% w/w,15 gm,9.07
1698,Pseudoephedrine   30 mgParacetamol   125 mgSodium Citrate   60 mg,50 ml,10.83
1699,Pseudoephedrine   15 mgAcetaminophen   125 mgCetirizine   2.5 mgDextromethorphan   2.5 mg,60 ml,12.48
1700,Ciprofloxacin   0.5% w/wChlorocresol   0.1% w/wClotrimazole   1% w/wFluocinolone Acetonide   0.025% w/w,5 gm,5.28
1701,Pseudoephedrine   30 mgAmmonium Chloride   50 mgDextromethorphan   10 mgMenthol   2.5 mg,100 ml,16.6
1702,Pseudoephedrine   15 mgDextromethorphan   2.5 mgAcetaminophen   125 mgCetirizine   2.5 mg,60 ml,12.48
1703,Ciprofloxacin   0.3% w/vDexamethasone Sodium Phosphate   0.1% w/vBenzalkonium Chloride   0.02% w/vHydroxypropyl Methyl Cellulose   0.25% w/v,10 ml,11.14
1704,Ephedrine   12 mgTheophylline   80 mgGuaiphenesin   50 mgAlcohol   0.55 ml,50 ml,12.15
1705,Pseudoephedrine   30 mgDextromethorphan   10 mgTriprolidine   1.25 mgMenthol   1.5 mg,60 ml,13.18
1706,Pseudoephedrine   30 mgChlorpheniramine Maleate   1 mgDextromethorphan   5 mgBromhexine   2.7 mg,60 ml,10.4
1707,Pseudoephedrine   30 mgDextromethorphan   10 mgCetirizine   5 mgMenthol   1.5 mg,50 ml,11.58
1708,Pseudoephedrine   30 mgParacetamol   125 mgMenthol   1 mgSodium Citrate   60 mg,60 ml,12.84
1709,Pseudoephedrine   60 mgChlorpheniramine Maleate   2 mgParacetamol   500 mgCaffeine   30 mg,10 Tablet,5.64
1710,Pseudoephedrine   30 mgDextromethorphan   10 mgTriprolidine   1.25 mgMenthol   1.5 mg,60 ml,13.18
1711,Pseudoephedrine   30 mgDextromethorphan   10 mgTriprolidine   1.25 mgMenthol   1.5 mg,100 ml,17.9
1712,Pseudoephedrine   10 mgAcetaminophen   125 mgDextromethorphan   5 mgCarbinoxamine Maleate   1 mg,60 ml,8.76
1713,Pseudoephedrine   10 mgChlorpheniramine Maleate   1 mgDextromethorphan   5 mgParacetamol   125 mg,60 ml,8.92
1714,Pseudoephedrine   30 mgParacetamol   325 mgChlorpheniramine Maleate   2 mgDextromethorphan   15 mg,10 Tablet,5.98
1715,Pseudoephedrine   60 mgCaffeine   30 mgParacetamol   500 mg,10 Tablet,7
1716,Pseudoephedrine   60 mgParacetamol   125 mgChlorpheniramine Maleate   4 mgCaffeine   30 mg,10 Tablet,5.88
1717,Ephedrine   5 mgChlorpheniramine Maleate   1 mgDextromethorphan   5 mgBromhexine   2.7 mg,60 ml,8.72
1718,Dexamethasone Sodium Phosphate   0.1% w/vTobramycin   0.3% w/vBenzalkonium Chloride   0.02% w/vHydroxypropyl Methyl Cellulose   0.25% w/v,10 ml,14.55
1719,Dexamethasone Sodium Phosphate   0.05% w/vBenzalkonium Chloride   0.02% w/vHydroxypropyl Methyl Cellulose   0.25% w/vOfloxacin   0.3% w/v,15 ml,12.34
1720,Dexamethasone Sodium Phosphate   0.05% w/vBenzalkonium Chloride   0.02% w/vHydroxypropyl Methyl Cellulose   0.25% w/vOfloxacin   0.3% w/v,100 ml,36.41
1721,Dexamethasone Sodium Phosphate   0.05% w/vBenzalkonium Chloride   0.02% w/vHydroxypropyl Methyl Cellulose   0.25% w/vOfloxacin   0.3% w/v,5 ml,8.77
1722,Dexamethasone   0.05% w/vSodium Tetraborate   0.06% w/vBoric Acid   1.20% w/vBenzalkonium Chloride   0.02% w/v,5 ml,9.2
1723,Dexamethasone Sodium Phosphate   0.05% w/vHydroxypropyl Methylcellulose (HPMC)   0.025% w/vChloramphenicol   0.1% w/vPhenyl Mercuric Nitrate   0.001% w/v,10 ml,11.01
1724,Dexamethasone Sodium Phosphate   0.1% w/vBoric Acid   1.5% w/vChloramphenicol   1% w/vPhenyl Mercuric Nitrate   0.001% w/v,10 ml,12.04
1725,Dexamethasone Sodium Phosphate   1 mgBenzalkonium Chloride   0.02% w/vChloramphenicol   4 mgHydroxypropyl Methylcellulose (HPMC)   0.25% w/v,5 ml,9.8
1726,Rifampicin   150 mgIsoniazid   100 mgPyrazinamide   500 mg,10 Blister Tablet,30.03
1727,Rifampicin   600 mgIsoniazid   300 mgPyrazinamide   800 mgEthambutol   1100 mg,10 Kit,149.99
1728,Tolnaftate   1% Gentamicin   0.1% Clotrimazole   1% Clobetasol   0.05% Quiniodochlor   1% ,5 gm,6.28
1729,Betamethasone   0.05% w/wLactic Acid Bacillus   3% w/wUrea   10% w/wSodium Lactate   2% w/wSalicylic Acid   3% w/w,10 gm,7.34
1730,Betamethasone   0.05% w/wLactic Acid Bacillus   3% w/wUrea   10% w/wSalicylic Acid   3% w/wSodium Lactate   2% w/w,20 gm,10.6
1731,Betamethasone   0.05% w/wSalicylic Acid   3% w/wUrea   10% w/wLactic Acid Bacillus   3% w/wSodium Lactate   2% w/w,15 gm,7.9
1732,Iodochlorohydroxyquinoline   10 mgGentamicin Sulphate   1 mgTolnaftate   10 mgChlorocresol   1 mgBetamethasone   0.643 mg,5 gm,5.86
1733,Rifampicin   450 mgIsoniazid   300 mgPyrazinamide   1500 mgEthambutol   800 mgPyridoxine   10 mg,1 Kit,9.16
1734,Ephedrine   0.75% Menthol   0.5% Camphor   0.5% Eucalyptol   0.5% Castor Oil   0.5% ,10 ml,5.46
1735,Ephedrine   5 mgChlorpheniramine Maleate   4 mgAmmonium Chloride   75 mgMenthol   1 mgSodium Citrate   50 mg,100 ml,13.54
1736,Ephedrine   5 mgChlorpheniramine Maleate   2 mgGuaiphenesin   50 mgParacetamol   500 mgBromhexine   4 mg,10 Tablet,3.8
1737,Pseudoephedrine   30 mgChlorpheniramine Maleate   2 mgMenthol   1 mgParacetamol   125 mgSodium Citrate   60 mg,60 ml,10.6
1738,Pseudoephedrine   30 mgChlorpheniramine Maleate   2 mgParacetamol   125 mgSodium Citrate   60 mgMenthol   1 mg,100 ml,14.44
1739,Pseudoephedrine   30 mgDiphenhydramine   20 mgAmmonium Chloride   125 mgMenthol   2 mgSodium Citrate   55 mg,50 ml,10.02
1740,Pseudoephedrine   30 mgDiphenhydramine   20 mgAmmonium Chloride   125 mgMenthol   2 mgSodium Citrate   55 mg,100 ml,15.78
1741,Ephedrine   5 mgBromhexine   4 mgChlorpheniramine Maleate   4 mgGlyceryl Guaicolate   50 mgParacetamol   450 mg,10 Tablet,4.12
1742,Chlorpheniramine Maleate   4 mgEphedrine   5 mgAmmonium Chloride   75 mgMenthol   1 mgSodium Citrate   50 mg,100 ml,12.3
1743,Metronidazole   200 mgFurazolidone   100 mgBerberine   20 mgBelladonna   125 mg,10 Tablet,6.26
1744,Vit B1   2 mgVit B2   2.5 mgVit B6   1.5 mgNiacinamide   20 mgLactic Acid Bacillus   40 million spores,10 Tablet,2.54
1745,Vit C   150 mgVit E   25 mgCarotenoids   100 mgSelenium Dioxide   45.9 mcgZinc Sulphate   70 mg,10 Tablet,12.64
1746,Vit B1   3 mgVit B2   3 mgVit B6   1 mgNicotinamide   25 mgLacto Bacillus Sporegens   40 million spores,10 Capsule,3.98
1747,Vit E   100 iuChromium Picolinate   200 mcgDHA (Decosahexanoic Acid)   60 mgEPA (Eicosapentaenoic Acid)   90 mgPolidocanol   10 mg,30 Capsule,28.88
1748,Vit B1   2 mgVit B2   2.5 mgVit B6   1.5 mgNicotinamide   20 mgLacto Bacillus Sporegens   6 million spores,10 Tablet,1.84
1749,Thiamine   2 mgRiboflavin   2.5 mgPyridoxine   1.5 mgNiacinamide   20 mgLactic Acid Bacillus   40 million spores,10 Tablet,1.52
1750,Vit E   4 mgVit C   25 mgManganese   10 mgGlucosamine Sulphate Sodium   250 mgChondroitin Sulphate   200 mg,10 Capsule,21.82
1751,Ascorbic Acid   75 mgFerrous Sulphate   60 mgFolic Acid (Vit B9)   1.5 mgCyanocobalamin   150 mcgPyridoxine   1.5 mg,15 Capsule,8.06
1752,Vit C   75 mgCarbonyl lron   100 mgFolic Acid (Vit B9)   1.5 mgVit B12   15 mcgZinc Gluconate   61.8 mg,10 Capsule,15.74
1753,Vit B1   2 mgVit B2   2.5 mgVit B6   1.5 mgNicotinamide   20 mgLactobacillus Sporegens   40 million spores,60 ml,8.68
1754,Thiamine   10 mgPyridoxine   3 mgCyanocobalamin   15 mcgD-Panthenol   5 mgL-Lysine   150 mg,200 ml,25.09
1755,Beta Carotene   20 mgZinc Sulphate   27.5 mgCopper   1 mgManganese   2 mgSelenium   150 mcg,10 Capsule,7.55
1756,Thiamine   10 mgVit B6   3 mgVit B12   15 mcgNiacinamide   50 mgL-Glutamic Acid   100 mg,10 Tablet,2.8
1757,Thiamine   10 mgPyridoxine Hydrochloride IP   3 mgCyanocobalamin   15 mcgCalcium Pantothenate   5 mgNiacinamide   45 mg,100 Tablet,23.82
1758,Pepsin   20 mgThiamine   1 Riboflavin   1 mgPyridoxine   0.5 mgNiacinamide   10 mg,30 ml,7.49
1759,Pepsin   20 mgThiamine   1 mgRiboflavin   1 mgPyridoxine   0.5 mgNiacinamide   10 mg,100 ml,13.78
1760,Vit B1   1 mgVit B2   1 mgD-Panthenol   1 mgNiacinamide   20 mgVit B6   0.5 mg,30 ml,7.12
1761,Vit B1   1 mgVit B2   1 mgD-Panthenol   1 mgNiacinamide   20 mgVit B6   0.5 mg,100 ml,12.38
1762,Thiamine   1.5 mgRiboflavin   2 mgPyridoxine   1 mgNicotinamide   15 mgLactic Acid Bacillus   60 million spores,60 ml,7.56
1763,Thiamine   100 mgPyridoxine   100 mgNiacinamide   100 mgD-Panthenol   50 mgCyanocobalamin   1000 mcg,2 ml,4.86
1764,Thiamine   1.5 mgRiboflavin   1 mgPyridoxine   0.75 mgNiacinamide   15 mgD-Panthenol   1.5 mg,200 ml,18.78
1765,Ferrous Gluconate   50 mgVit B1   1 mgVit B2   1 mgVit B6   0.25 mgNiacinamide   12.5 mg,200 ml,19.32
1766,Lysine   200 mgThiamine   5 mgRiboflavin   2.5 mgZinc Sulphate   16.5 mg,200 ml,21.96
1767,Vit B1   2 mgVit B2   2.5 mgVit B12   2 mcgVit B6   75 mgNicotinamide   15 mg,100 ml,15.2
